;account_id;sales_channel_id;dataset;train RMSE;test RMSE;train MAE;test MAE
0;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;1;price_total_agg;;;;
1;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;1;n_orders;;;;
2;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;3;price_total_agg;9002.165206860855;11315.620770767187;5407.509834982715;7909.380698168094
3;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;3;n_orders;26.061714475471486;32.265092280959955;14.108757228647308;24.259908547843153
4;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;4;price_total_agg;;;;
5;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;4;n_orders;;;;
6;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;5;price_total_agg;;;;
7;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;5;n_orders;;;;
8;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;6;price_total_agg;5146.2209463153085;5508.4529676825805;3530.1197156386443;3833.8567810922236
9;05d9cc3a-decc-4fa2-b4e8-b44eef40e3b6;6;n_orders;8.922231389617883;16.943341334451233;6.494208882855205;12.102256212518746
10;0661e926-f219-456e-bde5-612fee6f891c;1;price_total_agg;;;;
11;0661e926-f219-456e-bde5-612fee6f891c;1;n_orders;;;;
12;0ad2f65b-ee0e-4d50-93e2-84b76282325f;1;price_total_agg;;;;
13;0ad2f65b-ee0e-4d50-93e2-84b76282325f;1;n_orders;;;;
14;0ad2f65b-ee0e-4d50-93e2-84b76282325f;2;price_total_agg;;;;
15;0ad2f65b-ee0e-4d50-93e2-84b76282325f;2;n_orders;;;;
16;173e2b27-8bc6-44d1-b581-a1913d6b1894;1;price_total_agg;3792.2063360830916;7560.791598488205;1881.857568377675;6253.759734434175
17;173e2b27-8bc6-44d1-b581-a1913d6b1894;1;n_orders;11.762287517519876;16.48011245986157;4.2985765711487165;12.232651208160108
18;173e2b27-8bc6-44d1-b581-a1913d6b1894;2;price_total_agg;;;;
19;173e2b27-8bc6-44d1-b581-a1913d6b1894;2;n_orders;;;;
20;173e2b27-8bc6-44d1-b581-a1913d6b1894;3;price_total_agg;;;;
21;173e2b27-8bc6-44d1-b581-a1913d6b1894;3;n_orders;;;;
22;173e2b27-8bc6-44d1-b581-a1913d6b1894;4;price_total_agg;;;;
23;173e2b27-8bc6-44d1-b581-a1913d6b1894;4;n_orders;;;;
24;173e2b27-8bc6-44d1-b581-a1913d6b1894;5;price_total_agg;;;;
25;173e2b27-8bc6-44d1-b581-a1913d6b1894;5;n_orders;;;;
26;173e2b27-8bc6-44d1-b581-a1913d6b1894;6;price_total_agg;;;;
27;173e2b27-8bc6-44d1-b581-a1913d6b1894;6;n_orders;;;;
28;173e2b27-8bc6-44d1-b581-a1913d6b1894;7;price_total_agg;;;;
29;173e2b27-8bc6-44d1-b581-a1913d6b1894;7;n_orders;;;;
30;173e2b27-8bc6-44d1-b581-a1913d6b1894;8;price_total_agg;;;;
31;173e2b27-8bc6-44d1-b581-a1913d6b1894;8;n_orders;;;;
32;173e2b27-8bc6-44d1-b581-a1913d6b1894;9;price_total_agg;;;;
33;173e2b27-8bc6-44d1-b581-a1913d6b1894;9;n_orders;;;;
34;173e2b27-8bc6-44d1-b581-a1913d6b1894;11;price_total_agg;;;;
35;173e2b27-8bc6-44d1-b581-a1913d6b1894;11;n_orders;;;;
36;173e2b27-8bc6-44d1-b581-a1913d6b1894;12;price_total_agg;;;;
37;173e2b27-8bc6-44d1-b581-a1913d6b1894;12;n_orders;;;;
38;173e2b27-8bc6-44d1-b581-a1913d6b1894;14;price_total_agg;;;;
39;173e2b27-8bc6-44d1-b581-a1913d6b1894;14;n_orders;;;;
40;173e2b27-8bc6-44d1-b581-a1913d6b1894;16;price_total_agg;;;;
